title,time,genre,rating,description,votes,directors,stars,year,gross
Chapter 27,84,Biography,5.6,A film about Mark David Chapman in the days leading up to the infamous murder of Beatle John Lennon.,11029,['J.P. Schaefer'],"['Chuck Cooper', 'Victor Verhaeghe', 'Robert Gerard Larkin', 'Lindsay Lohan']",2007,60000.0
Charade,113,Comedy,7.9,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,75744,['Stanley Donen'],"['Cary Grant', 'Audrey Hepburn', 'Walter Matthau', 'James Coburn']",1963,13470000.0
Chariots of Fire,125,Biography,7.1,"Two British track athletes, one a determined Jew and the other a devout Christian, are driven to win in the 1924 Olympics as they wrestle with issues of pride and conscience.",59423,['Hugh Hudson'],"['Ben Cross', 'Ian Charleson', 'Nicholas Farrell', 'Nigel Havers']",1981,58970000.0
Charley Varrick,111,Drama,7.5,"A man, his wife and their friend stage a bloody bank robbery without realizing they are stealing from the Mob.",12104,['Don Siegel'],"['Walter Matthau', 'Joe Don Baker', 'Felicia Farr', 'Andrew Robinson']",1973,
Charlie,130,Adventure,8.0,"A young, nonconforming woman named Tessa gets entangled in a cat-and-mouse chase in the by-lanes of Kerala, hunting for a mysterious artist who previously lived in her apartment.",10475,['Martin Prakkat'],"['Dulquer Salmaan', 'Parvathy Thiruvothu', 'Aparna Gopinath', 'Nedumudi Venu']",2015,
Charlie Bartlett,97,Comedy,6.9,A rich kid becomes the self-appointed psychiatrist to the student body of his new high school.,65008,['Jon Poll'],"['Anton Yelchin', 'Robert Downey Jr.', 'Hope Davis', 'Kat Dennings']",2007,3950000.0
Charlie St. Cloud,100,Drama,6.4,"After Charlie survives a car crash that kills his younger brother, he is given the gift of seeing the spirits of his brother and others who he has lost, and must use his powers to save the woman he loves from impending disaster.",61751,['Burr Steers'],"['Zac Efron', 'Kim Basinger', 'Charlie Tahan', 'Amanda Crew']",2010,31160000.0
Charlie Wilson's War,102,Biography,7.0,"A drama based on a Texas congressman Charlie Wilson's covert dealings in Afghanistan, where his efforts to assist rebels in their war with the Soviets have some unforeseen and long-reaching effects.",117209,['Mike Nichols'],"['Tom Hanks', 'Julia Roberts', 'Philip Seymour Hoffman', 'Amy Adams']",2007,66660000.0
Charlie and the Chocolate Factory,115,Adventure,6.6,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",465110,['Tim Burton'],"['Johnny Depp', 'Freddie Highmore', 'David Kelly', 'Helena Bonham Carter']",2005,206460000.0
Charlie's Angels,98,Action,5.6,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",185534,['McG'],"['Cameron Diaz', 'Drew Barrymore', 'Lucy Liu', 'Bill Murray']",2000,125310000.0
Charlie's Angels,118,Action,4.9,"When a young systems engineer blows the whistle on a dangerous technology, Charlie's Angels are called into action, putting their lives on the line to protect us all.",70625,['Elizabeth Banks'],"['Kristen Stewart', 'Naomi Scott', 'Ella Balinska', 'Elizabeth Banks']",2019,
Charlie's Angels: Full Throttle,106,Action,4.9,The Angels investigate a series of murders which occur after the theft of a witness protection profile database.,126998,['McG'],"['Drew Barrymore', 'Lucy Liu', 'Cameron Diaz', 'Bernie Mac']",2003,100830000.0
Charlotte Gray,121,Drama,6.4,A young Scottish woman joins the French Resistance during World War II to rescue her Royal Air Force boyfriend who is lost in France.,12594,['Gillian Armstrong'],"['Cate Blanchett', 'James Fleet', 'Abigail Cruttenden', 'Charlotte McDougall']",2001,670000.0
Charlotte's Web,94,Animation,6.9,"Wilbur is a farm pig who's terrified that he'll end up on the dinner table. His friend Charlotte, a charming spider, comes to his rescue. She weaves words into her web, convincing the farmer that Wilbur is too special a pig to kill.",20394,"['Charles A. Nichols', 'Iwao Takamoto']","['Debbie Reynolds', 'Henry Gibson', 'Paul Lynde', 'Rex Allen']",1973,5230000.0
Charlotte's Web,97,Adventure,6.3,"Wilbur the pig is scared of the end of the season, because he knows that come that time, he will end up on the dinner table. He hatches a plan with Charlotte, a spider that lives in his pen, to ensure that this will never happen.",41356,['Gary Winick'],"['Dakota Fanning', 'Julia Roberts', 'Oprah Winfrey', 'Steve Buscemi']",2006,82990000.0
Chase,84,Thriller,5.5,"A hitman must prove his loyalty to his mentor and best friend, while his girlfriend wants to leave the business behind them.",10552,['Michael Matteo Rossi'],"['Richard Riehle', 'Rachel Alig', 'Jessica Morris', 'Skye Townsend']",2019,
Chasing Amy,113,Comedy,7.2,"Holden and Banky are comic book artists. Everything's going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's a lesbian.",137009,['Kevin Smith'],"['Ben Affleck', 'Joey Lauren Adams', 'Ethan Suplee', 'Scott Mosier']",1997,12020000.0
Chasing Liberty,101,Comedy,6.0,Anna wants to be like other girls her age (18): date a guy etc. but she's the US president's daughter and always guarded. In Prague he breaks his promise of only 2 agents following her to a concert and she runs away with Ben to see Europe.,39502,['Andy Cadiff'],"['Mandy Moore', 'Matthew Goode', 'Mark Harmon', 'Stark Sands']",2004,12190000.0
Chasing Mavericks,116,Biography,7.1,"When young Jay Moriarity discovers that the mythic Mavericks surf break, one of the biggest waves on Earth, exists just miles from his Santa Cruz home, he enlists the help of local legend Frosty Hesson to train him to survive it.",32625,"['Michael Apted', 'Curtis Hanson']","['Jonny Weston', 'Gerard Butler', 'Elisabeth Shue', 'Abigail Spencer']",2012,6000000.0
Chasseurs de dragons,80,Animation,6.6,A fantastic tale telling the adventures of two dragon hunters!,12661,"['Guillaume Ivernel', 'Arthur Qwak']","['Vincent Lindon', 'Patrick Timsit', 'Philippe Nahon', 'Amanda Lear']",2008,
Che: Part One,134,Biography,7.1,"In 1956, Ernesto 'Che' Guevara and a band of Castro-led Cuban exiles mobilize an army to topple the regime of dictator Fulgencio Batista.",46002,['Steven Soderbergh'],"['Julia Ormond', 'Benicio Del Toro', 'Oscar Isaac', 'Pablo Guevara']",2008,1730000.0
Che: Part Two,135,Biography,6.8,"In 1967, Ernesto 'Che' Guevara leads a small partisan army to fight an ill-fated revolutionary guerrilla war in Bolivia, South America.",33600,['Steven Soderbergh'],"['Demián Bichir', 'Rodrigo Santoro', 'Benicio Del Toro', 'Catalina Sandino Moreno']",2008,
Cheap Thrills,88,Comedy,6.7,A scheming couple put a struggling family man and his old friend through a series of increasingly twisted dares over the course of an evening at a local bar.,19058,['E.L. Katz'],"['Pat Healy', 'Ethan Embry', 'Sara Paxton', 'David Koechner']",2013,60000.0
Cheaper by the Dozen,98,Comedy,5.9,"With his wife doing a book tour, a father of twelve must handle a new job and his unstable brood.",100986,['Shawn Levy'],"['Steve Martin', 'Bonnie Hunt', 'Hilary Duff', 'Piper Perabo']",2003,138610000.0
Cheaper by the Dozen 2,94,Adventure,5.5,"The Bakers, while on vacation, find themselves competing with a rival family of eight children.",58342,['Adam Shankman'],"['Steve Martin', 'Bonnie Hunt', 'Hilary Duff', 'Eugene Levy']",2005,82570000.0
Cheech and Chong's Next Movie,99,Comedy,6.0,"Cheech and Chong live in a decrepit old house and drive their neighbour crazy with their loud music, weed smoking and general anarchy and slacker view on life. Then Chong meets Cheech's Texan cousin Red and things kick up a notch.",14041,['Tommy Chong'],"['Cheech Marin', 'Tommy Chong', 'Evelyn Guerrero', 'Betty Kennedy']",1980,41680000.0
Chef,114,Adventure,7.3,"A head chef quits his restaurant job and buys a food truck in an effort to reclaim his creative promise, while piecing back together his estranged family.",211762,['Jon Favreau'],"['Jon Favreau', 'Robert Downey Jr.', 'Scarlett Johansson', 'Dustin Hoffman']",2014,30640000.0
Chehre,139,Drama,6.6,"An 80-year-old man with a penchant for real life games in a story about rights and wrongs. It's a story about the decisions one makes in their lifetime and the fact that every decision has its repercussions, hearing and judgment.",26862,['Rumi Jaffery'],"['Amitabh Bachchan', 'Emraan Hashmi', ""Krystle D'Souza"", 'Annu Kapoor']",2021,
Chemical Hearts,93,Drama,6.2,A high-school transfer student finds a new passion when she begins to work on the school's newspaper.,12249,['Richard Tanne'],"['Lili Reinhart', 'Austin Abrams', 'Sarah Jones', 'Adhir Kalyan']",2020,
Chennai Express,141,Action,6.0,A man heading towards Rameshwaram via Chennai express to immerse his late grandfather's ashes unwillingly gets caught amidst goons after helping their boss's daughter and them board the train.,53364,['Rohit Shetty'],"['Deepika Padukone', 'Shah Rukh Khan', 'Sathyaraj', 'Abhinay Raj Singh']",2013,5310000.0
Chernobyl Diaries,86,Horror,5.0,"Six tourists hire an extreme tour guide who takes them to the abandoned city Pripyat, the former home to the workers of the Chernobyl nuclear reactor. During their exploration, they soon discover they are not alone.",66010,['Bradley Parker'],"['Jesse McCartney', 'Jonathan Sadowski', 'Olivia Taylor Dudley', 'Nathan Phillips']",2012,18120000.0
Cherry,142,Crime,6.6,"Cherry drifts from college dropout to army medic in Iraq - anchored only by his true love, Emily. But after returning from the war with PTSD, his life spirals into drugs and crime as he struggles to find his place in the world.",30415,"['Anthony Russo', 'Joe Russo']","['Tom Holland', 'Ciara Bravo', 'Jack Reynor', 'Forrest Goodluck']",2021,
Cherry Falls,92,Horror,5.2,"In the small town of Cherry Falls, a psychotic murderer is killing off the virgins of the local high school.",13539,['Geoffrey Wright'],"['Brittany Murphy', 'Jay Mohr', 'Michael Biehn', 'Jesse Bradford']",2000,
Cheung gong 7 hou,88,Animation,6.4,A poor Chinese laborer learns important lessons after his son gets a strange new toy.,15687,['Stephen Chow'],"['Stephen Chow', 'Yuqi Zhang', 'Jiao Xu', 'Lei Huang']",2008,210000.0
Chhalaang,136,Comedy,6.8,"Chhalaang is a hilarious, yet inspirational journey of Montu, a PT Master from a semi govt. funded school for whom teaching PT is just a job. When circumstances put everything he cares for ...                See full summary »",19046,['Hansal Mehta'],"['Rajkummar Rao', 'Nushrratt Bharuccha', 'Mohd. Zeeshan Ayyub', 'Saurabh Shukla']",2020,
Chhapaak,120,Biography,5.3,"The trials and triumphs of Malti, an acid attack survivor. From the investigation of the attack to the court proceedings, the medical treatment to the emotional healing. Chhapaak is the story of the unquashable human spirit.",26857,['Meghna Gulzar'],"['Deepika Padukone', 'Vikrant Massey', 'Madhurjeet Sarghi', 'Payal Nair']",2020,
Chhichhore,143,Comedy,8.2,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",49807,['Nitesh Tiwari'],"['Sushant Singh Rajput', 'Shraddha Kapoor', 'Varun Sharma', 'Prateik Babbar']",2019,900000.0
Chi bi,288,Action,7.3,The first chapter of a two-part story centered on a battle fought in China's Three Kingdoms period (220-280 A.D.).,45923,['John Woo'],"['Tony Chiu-Wai Leung', 'Takeshi Kaneshiro', 'Fengyi Zhang', 'Chang Chen']",2008,630000.0
Chi bi: Jue zhan tian xia,142,Action,7.5,Second and final part of epic tale about a legendary battle that changed the course of China history.,24097,['John Woo'],"['Tony Chiu-Wai Leung', 'Takeshi Kaneshiro', 'Fengyi Zhang', 'Chang Chen']",2009,630000.0
Chi trova un amico trova un tesoro,108,Adventure,7.1,"On a small pacific island, Alan and Charlie try to find a war treasure left behind by the Japanese army in World War II.",11487,['Sergio Corbucci'],"['Terence Hill', 'Bud Spencer', 'John Fujioka', 'Louise Bennett']",1981,
Chi-Raq,127,Comedy,5.8,"A modern day adaptation of the ancient Greek play Lysistrata by Aristophanes, set against the backdrop of gang violence in Chicago, Illinois.",10027,['Spike Lee'],"['Nick Cannon', 'Teyonah Parris', 'Wesley Snipes', 'Angela Bassett']",2015,2650000.0
Chicago,113,Comedy,7.2,"Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention.",227381,['Rob Marshall'],"['Renée Zellweger', 'Catherine Zeta-Jones', 'Richard Gere', 'Taye Diggs']",2002,170690000.0
Chicken Little,81,Animation,5.7,"After ruining his reputation with the town, a courageous chicken must come to the rescue of his fellow citizens when aliens start an invasion.",91325,['Mark Dindal'],"['Zach Braff', 'Joan Cusack', 'Garry Marshall', 'Don Knotts']",2005,135390000.0
Chicken Run,84,Animation,7.1,"When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",188238,"['Peter Lord', 'Nick Park']","['Mel Gibson', 'Julia Sawalha', 'Phil Daniels', 'Lynn Ferguson']",2000,106830000.0
Child 44,137,Crime,6.4,A disgraced member of the Russian military police investigates a series of child murders during the Stalin-era Soviet Union.,70495,['Daniel Espinosa'],"['Tom Hardy', 'Gary Oldman', 'Noomi Rapace', 'Joel Kinnaman']",2015,1210000.0
Child's Play,87,Horror,6.6,"A single mother gives her son a much sought-after doll for his birthday, only to discover that it is possessed by the soul of a serial killer.",99222,['Tom Holland'],"['Catherine Hicks', 'Chris Sarandon', 'Alex Vincent', 'Brad Dourif']",1988,33240000.0
Child's Play,90,Drama,5.7,"A mother gives her 13-year-old son a toy doll for his birthday, unaware of its more sinister nature.",50694,['Lars Klevberg'],"['Tim Matheson', 'Ben Daon', 'Zahra Anderson', 'Serge Jaswal']",2019,29210000.0
Child's Play 2,84,Horror,5.9,"While Andy's mother is admitted to a psychiatric hospital, the young boy is placed in foster care, and Chucky, determined to claim Andy's soul, is not far behind.",50444,['John Lafia'],"['Alex Vincent', 'Jenny Agutter', 'Gerrit Graham', 'Christine Elise']",1990,28500000.0
Child's Play 3,90,Horror,5.1,"Chucky returns for revenge against Andy, the young boy who defeated him, and now a teenager living in a military academy.",40289,['Jack Bender'],"['Justin Whalin', 'Perrey Reeves', 'Jeremy Sylvers', 'Travis Fine']",1991,14960000.0
Children of Men,109,Action,7.9,"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",491529,['Alfonso Cuarón'],"['Julianne Moore', 'Clive Owen', 'Chiwetel Ejiofor', 'Michael Caine']",2006,35550000.0
Children of a Lesser God,119,Drama,7.2,"A new speech teacher at a school for the deaf falls in love with the janitor, a deaf woman speechless by choice.",16805,['Randa Haines'],"['William Hurt', 'Marlee Matlin', 'Piper Laurie', 'Philip Bosco']",1986,31850000.0
Children of the Corn,92,Horror,5.6,A young couple is trapped in a remote town where a dangerous religious cult of children believes that everyone over age 18 must be killed.,51614,['Fritz Kiersch'],"['Peter Horton', 'Linda Hamilton', 'R.G. Armstrong', 'John Franklin']",1984,14570000.0
Chinatown,130,Drama,8.2,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",319240,['Roman Polanski'],"['Jack Nicholson', 'Faye Dunaway', 'John Huston', 'Perry Lopez']",1974,8490000.0
Chinjeolhan geumjassi,115,Crime,7.5,"After being wrongfully imprisoned for thirteen years and having her child taken away from her, a woman seeks revenge through increasingly brutal means.",77816,['Park Chan-wook'],"['Nam-mi Kang', 'Jeong-nam Choi', 'Hye-Sook Go', 'Bok-hwa Baek']",2005,210000.0
Chitty Chitty Bang Bang,144,Adventure,6.9,"A down-on-his-luck inventor turns a broken-down Grand Prix car into a fancy vehicle for his children, and then they go off on a magical fantasy adventure to save their grandfather in a far-off land.",45522,['Ken Hughes'],"['Dick Van Dyke', 'Sally Ann Howes', 'Lionel Jeffries', 'Benny Hill']",1968,7500000.0
Chloe,96,Drama,6.3,"Suspecting her husband of infidelity, gynecologist Dr. Catherine Stewart hires an escort named Chloe in order to test his faithfulness. Soon, the relationships between all three intensify.",72955,['Atom Egoyan'],"['Julianne Moore', 'Amanda Seyfried', 'Liam Neeson', 'Max Thieriot']",2009,3070000.0
Chocolat,121,Drama,7.3,A French woman and her young daughter open up a chocolate shop in a small remote village that shakes up the rigid morality of the community.,189015,['Lasse Hallström'],"['Juliette Binoche', 'Johnny Depp', 'Judi Dench', 'Alfred Molina']",2000,71510000.0
Chocolate,110,Action,6.9,An autistic girl with powerful martial art skills looks to settle her ailing mother's debts by seeking out the ruthless gangs that owe her family money.,18119,['Prachya Pinkaew'],"['JeeJa Yanin', 'Hiroshi Abe', 'Pongpat Wachirabunjong', 'Taphon Phopwandee']",2008,10000.0
Choi-jong-byeong-gi hwal,122,Action,7.1,A skilled Korean archer goes up against the mighty force of Manchus with the sole purpose of rescuing his kidnapped sister.,11951,['Han-min Kim'],"['Park Hae-il', 'Seung-ryong Ryu', 'Mu-Yeol Kim', 'Moon Chae-Won']",2011,250000.0
Choke,92,Comedy,6.4,A sex-addicted con-man pays for his mother's hospital bills by playing on the sympathies of those who rescue him from choking to death.,32500,['Clark Gregg'],"['Sam Rockwell', 'Anjelica Huston', 'Kelly Macdonald', 'Kathryn Alexander']",2008,2930000.0
Choose or Die,84,Drama,4.7,"After firing up a lost 80s survival horror game, a young coder unleashes a hidden curse that tears reality apart, forcing her to make terrifying decisions and face deadly consequences.",13302,['Toby Meakins'],"['Iola Evans', 'Asa Butterfield', 'Robert Englund', 'Angela Griffin']",2022,
Chopper,94,Biography,7.1,"Chopper tells the intense story of Mark ""Chopper"" Read, a legendary criminal who wrote his autobiography while serving a jail sentence in prison. His book, ""From the Inside"", upon which the film is based, was a best-seller.",38414,['Andrew Dominik'],"['Eric Bana', 'Simon Lyndon', 'Vince Colosimo', 'Renée Brack']",2000,230000.0
Chopping Mall,77,Comedy,5.6,"A group of young shopping mall employees stay behind for a late night party in one of the stores. When the mall goes on lock-down before they can get out, the robot security system malfunctions, and goes on a killing spree.",14250,['Jim Wynorski'],"['Kelli Maroney', ""Tony O'Dell"", 'Russell Todd', 'Karrie Emerson']",1986,
Christiane F. - Wir Kinder vom Bahnhof Zoo,138,Biography,7.5,A teen girl in 1970's Berlin becomes addicted to heroin. Everything in her life slowly begins to distort and disappear as she befriends a small crew of junkies and falls in love with a drug-abusing male prostitute.,24819,['Uli Edel'],"['Natja Brunckhorst', 'Eberhard Auriga', 'Peggy Bussieck', 'Lothar Chamski']",1981,
Christine,110,Horror,6.7,A nerdish boy buys a strange car with an evil mind of its own and his nature starts to change to reflect it.,80920,['John Carpenter'],"['Keith Gordon', 'John Stockwell', 'Alexandra Paul', 'Robert Prosky']",1983,21200000.0
Christine,119,Biography,6.9,"The story of Christine Chubbuck, a 1970s TV reporter struggling with depression and professional frustrations as she tries to advance her career.",14975,['Christine Chubbuck'],"['Antonio Campos', 'Rebecca Hall', 'Michael C. Hall', 'Tracy Letts', 'Maria Dizzia']",2016,300000.0
Christmas Inheritance,104,Comedy,5.7,"To be the CEO, an heiress is challenged by her dad to deliver a Christmas letter in person to his ex-partner in their hometown - traveling by bus, incognito and with only $100. Will she learn something from the people there?",11691,['Ernie Barbarash'],"['Eliza Taylor', 'Jake Lacy', 'Andie MacDowell', 'Neil Crone']",2017,
Christmas in the Wild,85,Comedy,6.1,"Jilted by her husband on the eve of embarking on an African safari, a woman travels to the continent alone where she meets an elephant conservationist.",15057,['Ernie Barbarash'],"['Rob Lowe', 'Kristin Davis', 'Fezile Mpela', 'John Owen Lowe']",2019,
Christmas with the Kranks,99,Comedy,5.4,"With their daughter, Blair, away, Luther and Nora Krank decide to skip Christmas all together until she decides to come home, causing an uproar when they have to celebrate it at the last minute.",49087,['Joe Roth'],"['Tim Allen', 'Jamie Lee Curtis', 'Dan Aykroyd', 'M. Emmet Walsh']",2004,73780000.0
Christopher Robin,104,Adventure,7.2,"A working-class family man, Christopher Robin, encounters his childhood friend Winnie-the-Pooh, who helps him to rediscover the joys of life.",76005,['Marc Forster'],"['Ewan McGregor', 'Hayley Atwell', 'Bronte Carmichael', 'Mark Gatiss']",2018,99220000.0
Chronicle,89,Action,7.0,Three high school friends gain superpowers after making an incredible discovery underground. Soon they find their lives spinning out of control and their bond tested as they embrace their darker sides.,248991,['Josh Trank'],"['Dane DeHaan', 'Alex Russell', 'Michael B. Jordan', 'Michael Kelly']",2012,64580000.0
Chugyeokja,125,Action,7.8,A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.,64804,['Na Hong-jin'],"['Kim Yoon-seok', 'Ha Jung-woo', 'Yeong-hie Seo', 'Kim Yoo-jeong']",2008,
Chun gwong cha sit,96,Drama,7.7,A couple take a trip to Argentina but both men find their lives drifting apart in opposite directions.,28068,['Kar-Wai Wong'],"['Leslie Cheung', 'Tony Chiu-Wai Leung', 'Chang Chen', 'Gregory Dayton']",1997,190000.0
Chung Hing sam lam,102,Comedy,8.0,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents.",77232,['Kar-Wai Wong'],"['Brigitte Lin', 'Takeshi Kaneshiro', 'Tony Chiu-Wai Leung', 'Faye Wong']",1994,600000.0
Chup Chup Ke,164,Comedy,6.9,"A debt-ridden young man attempts suicide, but is rescued only to find that his luck is finally turning.",10523,"['Priyadarshan', 'Kookie Gulati']","['Shahid Kapoor', 'Kareena Kapoor', 'Om Puri', 'Paresh Rawal']",2006,330000.0
Chupke Chupke,146,Comedy,8.3,A newly wedded husband plays a practical joke on his wife's family with full support from his wife and friends.,12456,['Hrishikesh Mukherjee'],"['Dharmendra', 'Sharmila Tagore', 'Amitabh Bachchan', 'Jaya Bachchan']",1975,
Churchill,105,Biography,6.1,"Ninety-six hours before the World War II invasion of Normandy, British Prime Minister Winston Churchill struggles with his severe reservations with Operation Overlord and his increasingly marginalized role in the war effort.",16979,['Jonathan Teplitzky'],"['Brian Cox', 'Miranda Richardson', 'John Slattery', 'Julian Wadham']",2017,1280000.0
Chéri,100,Comedy,6.1,The son of a courtesan retreats into a fantasy world after being forced to end his relationship with the older woman who educated him in the ways of love.,11190,['Stephen Frears'],"['Michelle Pfeiffer', 'Rupert Friend', 'Kathy Bates', 'Frances Tomelty']",2009,2710000.0
Ci ke Nie Yin Niang,105,Action,6.3,A female assassin receives a dangerous mission to kill a political leader in eighth-century China.,16747,['Hsiao-Hsien Hou'],"['Shu Qi', 'Chang Chen', 'Yun Zhou', 'Satoshi Tsumabuki']",2015,610000.0
Cidade de Deus,130,Crime,8.6,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",740198,"['Fernando Meirelles', 'Kátia Lund']","['Alexandre Rodrigues', 'Leandro Firmino', 'Matheus Nachtergaele', 'Phellipe Haagensen']",2002,7560000.0
Cidade dos Homens,106,Crime,7.2,"Best buddies Acerola and Laranjinha, about to turn 18, discover things about their missing fathers' pasts which will shatter their solid friendship, in the middle of a war between rival drug gangs from Rio's favelas.",15641,['Paulo Morelli'],"['Douglas Silva', 'Darlan Cunha', 'Jonathan Haagensen', 'Rodrigo dos Santos']",2007,310000.0
Cinayet Süsü,112,Comedy,6.7,"A serial killer keeps creating crime scenes that are ridiculously decorated with paints, markings and poems everywhere. The team begin solving the most mysterious murder case of the country, using the most wrong methods.",16642,['Ali Atay'],"['Ugur Yücel', 'Binnur Kaya', 'Cengiz Bozkurt', 'Feyyaz Yigit']",2019,
Cinderella,74,Animation,7.3,"When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq and from her Fairy Godmother.",156916,"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske']","['Ilene Woods', 'James MacDonald', 'Eleanor Audley', 'Verna Felton']",1950,85000000.0
Cinderella,113,Comedy,4.2,"A modern movie musical with a bold take on the classic fairy tale. Our ambitious heroine has big dreams and with the help of her fab Godmother, she perseveres to make them come true.",39743,['Kay Cannon'],"['Camila Cabello', 'Billy Porter', 'Nicholas Galitzine', 'Idina Menzel']",2021,
Cinderella,105,Adventure,6.9,"When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.",174124,['Kenneth Branagh'],"['Lily James', 'Cate Blanchett', 'Richard Madden', 'Helena Bonham Carter']",2015,201150000.0
Cinderella Man,144,Biography,8.0,"The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world.",185198,['Ron Howard'],"['Russell Crowe', 'Renée Zellweger', 'Craig Bierko', 'Paul Giamatti']",2005,61650000.0
Circle,87,Drama,6.0,"Held captive and faced with their imminent executions, fifty strangers are forced to choose the one person among them who deserves to live.",54076,"['Aaron Hann', 'Mario Miscione']","['Allegra Masters', 'Aimee McKay', 'Ashley Key', 'Autumn Federici']",2015,
Cirque du Freak: The Vampire's Assistant,119,Action,5.8,"Teenager Darren Shan meets a mysterious man at a freak show who turns out to be a vampire. After a series of events, Darren must leave his normal life and go on the road with the Cirque du Freak, becoming a creature of the night.",44882,['Paul Weitz'],"['Chris Massoglia', 'John C. Reilly', 'Salma Hayek', 'Josh Hutcherson']",2009,14050000.0
Citizen Kane,119,Drama,8.3,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",433727,['Orson Welles'],"['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore', 'Agnes Moorehead']",1941,1590000.0
City Hall,111,Crime,6.2,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",20596,['Harold Becker'],"['Al Pacino', 'John Cusack', 'Bridget Fonda', 'Danny Aiello']",1996,20200000.0
City Island,104,Comedy,7.4,"Prison guard Vince tells Molly from acting class, that one inmate is his 24 y.o. love child. Vince takes him home to stay with his family - straight A son with fat girl fetish, college dropout/stripper daughter and cute wife.",31579,['Raymond De Felitta'],"['Andy Garcia', 'Julianna Margulies', 'Steven Strait', 'Emily Mortimer']",2009,6670000.0
City Lights,87,Comedy,8.5,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",181322,['Charles Chaplin'],"['Charles Chaplin', 'Virginia Cherrill', 'Florence Lee', 'Harry Myers']",1931,20000.0
City Slickers,113,Comedy,6.8,"On the verge of turning 40, an unhappy Manhattan yuppie is roped into joining his two friends on a cattle drive in the southwest.",55766,['Ron Underwood'],"['Billy Crystal', 'Jack Palance', 'Daniel Stern', 'Bruno Kirby']",1991,124030000.0
City Slickers II: The Legend of Curly's Gold,116,Comedy,5.5,"One year after their first adventure, Mitch Robbins and his friends discover a treasure map that belonged to their late trail guide Curly and they set out to discover its secrets.",19552,['Paul Weiland'],"['Billy Crystal', 'Jack Palance', 'Daniel Stern', 'Jon Lovitz']",1994,43620000.0
City by the Sea,108,Crime,6.1,"Vincent Lamarca, whose father was executed for a 1950s kidnapping of a child, grew up to become a police officer, only to see his own son become a murder suspect.",25130,['Michael Caton-Jones'],"['Robert De Niro', 'James Franco', 'Frances McDormand', 'Eliza Dushku']",2002,22430000.0
City of Angels,114,Drama,6.7,"An angel on Earth, a doctor unable to believe, a patient with a secret, a love story made in Heaven.",119434,['Brad Silberling'],"['Nicolas Cage', 'Meg Ryan', 'Andre Braugher', 'Dennis Franz']",1998,78690000.0
City of Ember,90,Adventure,6.4,"For generations, the people of the City of Ember have flourished in an amazing world of glittering lights. But Ember's once powerful generator is failing and the great lamps that illuminate the city are starting to flicker.",65390,['Gil Kenan'],"['Saoirse Ronan', 'Toby Jones', 'Bill Murray', 'David Ryall']",2008,7870000.0
City of Lies,112,Biography,6.4,Russell Poole and Jack Jackson investigate the murder of rapper Notorious B.I.G.,13376,['Brad Furman'],"['Johnny Depp', 'Forest Whitaker', 'Toby Huss', 'Dayton Callie']",2018,570000.0
Clash of the Titans,118,Action,6.9,Perseus must battle Medusa and the Kraken to save the Princess Andromeda.,43988,['Desmond Davis'],"['Laurence Olivier', 'Harry Hamlin', 'Claire Bloom', 'Maggie Smith']",1981,41090000.0
Clash of the Titans,106,Action,5.8,"Perseus, a demigod and the son of Zeus, battles the minions of Hades and the Underworld in order to stop them from conquering Olympus and Earth.",280121,['Louis Leterrier'],"['Sam Worthington', 'Liam Neeson', 'Ralph Fiennes', 'Jason Flemyng']",2010,163210000.0
