title,time,genre,rating,description,votes,directors,stars,year,gross
Let Me In,116,Drama,7.1,A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.,120311,['Matt Reeves'],"['Kodi Smit-McPhee', 'Chloë Grace Moretz', 'Richard Jenkins', 'Cara Buono']",2010,12130000.0
Let Them All Talk,113,Comedy,6.1,A famous author goes on a cruise trip with her friends and nephew in an effort to find fun and happiness while she comes to terms with her troubled past.,10610,['Steven Soderbergh'],"['Meryl Streep', 'Gemma Chan', 'Dianne Wiest', 'Christopher Fitzgerald']",2020,
Let's Be Cops,104,Action,6.4,"Two struggling pals dress as police officers for a costume party and become neighborhood sensations. But when these newly-minted ""heroes"" get tangled in a real life web of mobsters and dirty detectives, they must put their fake badges on the line.",133105,['Luke Greenfield'],"['Jake Johnson', 'Damon Wayans Jr.', 'Rob Riggle', 'Nina Dobrev']",2014,82390000.0
Let's Go to Prison,84,Comedy,5.9,"When a career criminal's plan for revenge is thwarted by unlikely circumstances, he puts his intended victim's son in his place by putting him in prison...and then joining him.",24897,['Bob Odenkirk'],"['Dax Shepard', 'Will Arnett', 'Chi McBride', 'David Koechner']",2006,4610000.0
Lethal Weapon,109,Action,7.6,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.,253807,['Richard Donner'],"['Mel Gibson', 'Danny Glover', 'Gary Busey', 'Mitchell Ryan']",1987,65209999.0
Lethal Weapon 2,114,Action,7.2,Riggs and Murtaugh are on the trail of South African diplomats who are using their immunity to engage in criminal activities.,173133,['Richard Donner'],"['Mel Gibson', 'Danny Glover', 'Joe Pesci', 'Patsy Kensit']",1989,147250000.0
Lethal Weapon 3,118,Action,6.7,Martin Riggs and Roger Murtaugh pursue a former LAPD officer who uses his knowledge of police procedure and policies to steal and sell confiscated guns and ammunition to local street gangs.,166200,['Richard Donner'],"['Mel Gibson', 'Danny Glover', 'Joe Pesci', 'Rene Russo']",1992,144730000.0
Lethal Weapon 4,127,Action,6.6,"With personal crises and age weighing in on them, LAPD officers Riggs and Murtaugh must contend with deadly Chinese triads that are trying to free their former leaders out of prison and onto American soil.",161384,['Richard Donner'],"['Mel Gibson', 'Danny Glover', 'Joe Pesci', 'Rene Russo']",1998,130440000.0
Letter from an Unknown Woman,87,Drama,7.9,"A pianist about to flee from a duel receives a letter from a woman he cannot remember, who may hold the key to his downfall.",12275,['Max Ophüls'],"['Joan Fontaine', 'Louis Jourdan', 'Mady Christians', 'Marcel Journet']",1948,
Letters from Iwo Jima,141,Action,7.9,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.",161149,['Clint Eastwood'],"['Ken Watanabe', 'Kazunari Ninomiya', 'Tsuyoshi Ihara', 'Ryô Kase']",2006,13760000.0
Letters to Juliet,105,Adventure,6.5,"Sophie dreams of becoming a writer and travels to Verona, Italy where she meets the ""Secretaries of Juliet"".",98992,['Gary Winick'],"['Amanda Seyfried', 'Gael García Bernal', 'Vanessa Redgrave', 'Marcia DeBonis']",2010,53030000.0
Letyat zhuravli,95,Drama,8.3,"Veronica plans a rendezvous with her lover, Boris, at the bank of river, only for him to be drafted into World War II shortly thereafter.",17167,['Mikhail Kalatozov'],"['Tatyana Samoylova', 'Aleksey Batalov', 'Vasiliy Merkurev', 'Aleksandr Shvorin']",1957,20000.0
Level 16,102,Drama,6.0,"In a highly regimented boarding school, a pair of students discover that things are not as they seem.",11108,['Danishka Esterhazy'],"['Katie Douglas', 'Celina Martin', 'Sara Canning', 'Peter Outerbridge']",2018,
Leviafan,140,Crime,7.6,"In a Russian coastal town, Kolya is forced to fight the corrupt mayor when he is told that his house will be demolished. He recruits a lawyer friend to help, but the man's arrival brings further misfortune for Kolya and his family.",52936,['Andrey Zvyagintsev'],"['Aleksey Serebryakov', 'Elena Lyadova', 'Roman Madyanov', 'Vladimir Vdovichenkov']",2014,1090000.0
Leviathan,98,Adventure,5.8,"Perched on the hull of a wrecked Soviet freighter, a team of deep-sea miners led by head oceanographer Steven Beck comes face to face with a mutant creature that's the product of a failed genetic experiment.",20642,['George P. Cosmatos'],"['Peter Weller', 'Richard Crenna', 'Amanda Pays', 'Daniel Stern']",1989,15700000.0
Liar Liar,86,Comedy,6.9,A fast-track lawyer can't lie for 24 hours due to his son's birthday wish after he disappoints his son for the last time.,302459,['Tom Shadyac'],"['Jim Carrey', 'Maura Tierney', 'Amanda Donohoe', 'Jennifer Tilly']",1997,181410000.0
Liberal Arts,97,Comedy,6.7,"When 30-something Jesse returns to his alma mater for a professor's retirement party, he falls for Zibby, a college student, and is faced with a powerful attraction that springs up between them.",37768,['Josh Radnor'],"['Josh Radnor', 'Elizabeth Olsen', 'Zac Efron', 'Elizabeth Reaser']",2012,320000.0
Licence to Kill,133,Action,6.6,A vengeful James Bond goes rogue to infiltrate and take down the organization of a drug lord who has murdered his friend's new wife and left him near-death.,102890,['John Glen'],"['Timothy Dalton', 'Robert Davi', 'Carey Lowell', 'Talisa Soto']",1989,34670000.0
License to Drive,88,Comedy,6.3,A teen decides to go for a night on the town with his friends despite flunking his driver's test.,20416,['Greg Beeman'],"['Corey Haim', 'Corey Feldman', 'Carol Kane', 'Richard Masur']",1988,22430000.0
